               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.022993,           0.0082989,          0.00070643,             0.99867,                   1,               0.995,             0.77097,            0.016456,           0.0034789,          0.00045798,            0.005743,            0.005743,            0.005743
                 131,            0.022269,            0.008802,          0.00069856,             0.99895,                   1,               0.995,             0.81033,            0.014825,           0.0034656,          0.00042514,             0.00571,             0.00571,             0.00571
                 132,            0.021777,           0.0083888,          0.00064756,             0.99878,             0.99687,               0.995,             0.78126,            0.015522,           0.0034783,          0.00039787,            0.005677,            0.005677,            0.005677
                 133,            0.022804,           0.0088183,          0.00056815,             0.99887,                   1,               0.995,             0.80623,            0.014069,           0.0033005,           0.0003644,            0.005644,            0.005644,            0.005644
                 134,            0.022026,           0.0088758,           0.0022974,             0.99865,                   1,               0.995,             0.80099,            0.014206,            0.003248,          0.00035318,            0.005611,            0.005611,            0.005611
                 135,            0.023181,           0.0085826,          0.00061728,             0.99872,                   1,               0.995,             0.81204,            0.014241,           0.0032557,          0.00038341,            0.005578,            0.005578,            0.005578
                 136,            0.022269,           0.0080512,          0.00061124,             0.99777,                   1,               0.995,             0.79943,            0.014691,           0.0032613,          0.00043657,            0.005545,            0.005545,            0.005545
                 137,            0.021073,           0.0076289,          0.00079645,             0.99898,              0.9997,               0.995,             0.79792,            0.015424,           0.0033407,          0.00044972,            0.005512,            0.005512,            0.005512
                 138,            0.022935,           0.0078889,           0.0011051,             0.99904,             0.99687,               0.995,             0.78438,            0.016152,           0.0035159,          0.00043712,            0.005479,            0.005479,            0.005479
                 139,            0.022425,           0.0082118,          0.00094465,             0.99809,             0.99954,               0.995,             0.79206,              0.0152,           0.0034315,          0.00043648,            0.005446,            0.005446,            0.005446
                 140,            0.022485,           0.0082524,           0.0018347,             0.99916,                   1,               0.995,             0.80322,            0.015605,           0.0033889,          0.00041193,            0.005413,            0.005413,            0.005413
                 141,            0.021664,           0.0072329,          0.00096571,             0.99854,                   1,               0.995,             0.81491,            0.013502,           0.0032792,          0.00039315,             0.00538,             0.00538,             0.00538
                 142,             0.02153,           0.0080989,          0.00057694,             0.99892,                   1,               0.995,               0.817,            0.014279,           0.0033641,          0.00038637,            0.005347,            0.005347,            0.005347
                 143,            0.022875,            0.008157,          0.00065358,             0.99934,             0.99918,               0.995,             0.80922,            0.014764,           0.0035182,          0.00041858,            0.005314,            0.005314,            0.005314
                 144,            0.023671,           0.0078852,           0.0007019,             0.99861,             0.99687,               0.995,             0.76488,             0.01607,           0.0036035,          0.00042229,            0.005281,            0.005281,            0.005281
                 145,            0.022016,           0.0074227,          0.00063462,              0.9994,             0.99945,               0.995,             0.81076,            0.015349,           0.0035352,          0.00041945,            0.005248,            0.005248,            0.005248
                 146,            0.020947,           0.0084937,          0.00069936,             0.99915,                   1,               0.995,             0.83134,             0.01483,            0.003398,          0.00040517,            0.005215,            0.005215,            0.005215
                 147,            0.020489,           0.0074887,          0.00055075,              0.9987,                   1,               0.995,             0.83462,            0.013408,           0.0032331,          0.00038476,            0.005182,            0.005182,            0.005182
                 148,            0.022095,           0.0075955,          0.00059303,             0.99947,             0.99619,               0.995,             0.81338,            0.014979,           0.0034575,          0.00039703,            0.005149,            0.005149,            0.005149
                 149,            0.022911,           0.0076629,          0.00089753,             0.99838,                   1,               0.995,             0.84828,            0.013057,           0.0031229,          0.00042783,            0.005116,            0.005116,            0.005116
                 150,            0.020584,           0.0075984,          0.00072689,             0.99815,                   1,               0.995,             0.83202,             0.01349,           0.0031587,          0.00043447,            0.005083,            0.005083,            0.005083
                 151,            0.020758,           0.0074053,          0.00075742,             0.99821,                   1,               0.995,             0.82929,            0.014037,             0.00323,          0.00043652,             0.00505,             0.00505,             0.00505
                 152,            0.022377,           0.0088591,          0.00077293,             0.99856,                   1,               0.995,             0.79562,            0.015555,           0.0032205,          0.00044132,            0.005017,            0.005017,            0.005017
                 153,            0.020794,           0.0076883,          0.00062544,             0.99862,                   1,               0.995,             0.83547,            0.013271,           0.0031857,          0.00043169,            0.004984,            0.004984,            0.004984
                 154,            0.020671,           0.0072387,          0.00066102,             0.99804,                   1,               0.995,             0.83437,             0.01333,            0.003091,          0.00040604,            0.004951,            0.004951,            0.004951
                 155,            0.021602,           0.0077399,           0.0012595,             0.99785,                   1,               0.995,             0.82856,             0.01426,           0.0031513,          0.00039016,            0.004918,            0.004918,            0.004918
                 156,            0.021143,           0.0076414,           0.0007584,               0.998,                   1,               0.995,              0.8295,            0.014469,           0.0032195,           0.0003782,            0.004885,            0.004885,            0.004885
